sci_name,long,lat
Acianthera ochreata,-40.67,-11.676111
Acianthera ochreata,-41,-11
Acianthera ochreata,-40.318889,-12.3325
Acianthera ochreata,-40.478611,-12.47
Acianthera ochreata,-40.998611,-11.9925
Acianthera ochreata,-41.206944,-11.208611
Acianthera ochreata,-41.185833,-11.192778
Acianthera ochreata,-41.027222,-11.017778
Acianthera ochreata,-40.494444,-11.489167
Acianthera ochreata,-41.001111,-11.011389
Acianthera ochreata,-41.280278,-10.274444
Acianthera ochreata,-40.513889,-11.509722
Acianthera ochreata,-41.433333,-12.433333
Acianthera ochreata,-40.655278,-11.655278
Acianthera ochreata,-41.207222,-11.207778
Acianthera ochreata,-41.341667,-12.341667
Acianthera ochreata,-40.506111,-11.511667
Acianthera ochreata,-41.316667,-10.316667
Acianthera ochreata,-41.9,-13.9
Acianthera ochreata,-41.766667,-13.766667
Acianthera ochreata,-41.206667,-11.2075
Acianthera ochreata,-41.466667,-12.466667
Acianthera ochreata,-41.45,-12.45
Acianthera ochreata,-41.866667,-13.866667
Acianthera ochreata,-41.133333,-11.133333
Acianthera ochreata,-41.000444,-11.627805
Acianthera ochreata,-40.367333,-10.670444
Acianthera ochreata,-37.236638,-8.588916
Acianthera ochreata,-40.223944,-10.354222
Acianthera ochreata,-38.555527,-7.822722
Acianthera ochreata,-39.33975,-10.437638
Acianthera ochreata,-38.064666,-7.823277
Acianthera ochreata,-38.055527,-7.822722
Acianthera ochreata,-41.207416,-11.590722
Acianthera ochreata,-36.408333,-8.191666
Acianthera ochreata,-41.207777,-11.591111
Acianthera ochreata,-40.513889,-11.193056
Acianthera ochreata,-41,-11.616667
Acianthera ochreata,-41.318889,-12.965833
Acianthera ochreata,-41.35,-12.983333
Acianthera ochreata,-41.206667,-11.590833
Acianthera ochreata,-41.454167,-12.466944
Acianthera ochreata,-41.421389,-12.465
Acianthera ochreata,-41.471111,-12.456389
Acianthera ochreata,-41.383333,-12.566667
Acianthera ochreata,-36.061111,-7.076944
Acianthera ochreata,-35.775,-7.355278
Acianthera ochreata,-41.313333,-10.341944
Acianthera ochreata,-41.206944,-11.591944
Acianthera ochreata,-40.671333,-11.673111
Acianthera ochreata,-41.993333,-12.431111
Acianthera ochreata,-36.191472,-8.235639
Acianthera ochreata,-36.010444,-8.391583
Acianthera ochreata,-36.435,-8.240833
Acianthera ochreata,-38.076667,-7.831389
Acianthera ochreata,-35.753333,-8.327222
Acianthera ochreata,-35.843944,-8.381944
Acianthera ochreata,-36.019167,-8.410639
Acianthera ochreata,-35.834167,-8.336944
Acianthera ochreata,-36.409139,-8.196917
Acianthera ochreata,-38.056056,-7.822833
Acianthera ochreata,-36.38675,-8.247556
Acianthera ochreata,-41.471389,-12.457778
Acianthera ochreata,-41.701944,-12.75
Acianthera ochreata,-41.75,-12.785278
Acianthera ochreata,-35.843889,-8.381944
Acianthera ochreata,-40.999722,-11.625
Acianthera ochreata,-40.536111,-11.396944
Acianthera ochreata,-42.17,-13.25
Acianthera ochreata,-35.796902,-8.23333
Acianthera ochreata,-36.6964,-8.35778
Acianthera ochreata,-36.142799,-8.32583
Acianthera ochreata,-35.944698,-8.45806
Acianthera prolifera,-41.266667,-13.7
Acianthera prolifera,-41.45,-12.5
Acianthera prolifera,-41.466667,-12.45
Acianthera prolifera,-41.45,-12.466667
Acianthera prolifera,-41.416667,-12.45
Acianthera prolifera,-41.517395,-12.551034
Acianthera prolifera,-41.452778,-12.456667
Acianthera prolifera,-41.27,-13.7
Acianthera prolifera,-41.9,-13.23
Acianthera prolifera,-41.55,-12.516667
Acianthera prolifera,-41.211667,-11.5975
Acianthera prolifera,-41.465889,-12.60375
Acianthera prolifera,-41.882222,-13.325833
Acianthera prolifera,-41.38333,-12.56666
Acianthera prolifera,-41.466667,-12.466667
Acianthera prolifera,-41.470833,-12.472222
Acianthera prolifera,-41.383333,-12.383333
Acianthera prolifera,-41.883333,-13.883333
Acianthera prolifera,-41.45,-12.45
Acianthera prolifera,-41.483333,-12.483333
Acianthera prolifera,-41.470833,-12.455556
Acianthera prolifera,-41.75,-12.75
Acianthera saundersiana,-41.88,-13.27
Acianthera saundersiana,-41.882222,-13.325833
Acianthera saundersiana,-38.961944,-4.237222
Acianthera saundersiana,-41.883333,-13.883333
Acianthera saundersiana,-38.970583,-4.20675
Acianthera saundersiana,-38.970556,-4.207222
Acianthera teres,-41.273056,-11.496111
Acianthera teres,-40.518056,-11.180833
Acianthera teres,-41.155833,-11.550278
Acianthera teres,-41.1558252,-11.5539318
Acianthera teres,-40.5180838,-11.1844226
Anathallis aristulata,-41.383333,-13.383333
Anathallis aristulata,-41.37,-13.371111
Anathallis barbulata,-39.499139,-3.657139
Anathallis microphyta,-40.594796,-11.428702
Anathallis microphyta,-36.405278,-8.413611
Anathallis microphyta,-41.027222,-11.017778
Anathallis montipelladensis,-41.95,-13.533333
Anathallis montipelladensis,-42,-13.516667
Anathallis montipelladensis,-41.966667,-13.516667
Anathallis montipelladensis,-41.906667,-13.541111
Anathallis montipelladensis,-42,-13.52
Anathallis montipelladensis,-41.95,-13.53
Anathallis montipelladensis,-41.65,-13.233333
Aspidogyne argentea,-36.833333,-9.184414
Aspidogyne argentea,-36.399056,-8.215528
Aspidogyne foliosa,-38.720556,-3.895556
Aspidogyne foliosa,-37.078911,-9.627964
Aspidogyne foliosa,-38.718889,-3.904444
Aspidogyne foliosa,-38.716667,-3.883333
Aspidogyne foliosa,-35.514444,-7.515278
Aspidogyne foliosa,-36.489636,-9.394228
Aspidogyne foliosa,-36.572067,-9.526233
Aspidogyne foliosa,-36.572231,-9.526475
Aspidogyne foliosa,-36.504861,-9.402825
Aspidogyne foliosa,-37.542661,-10.308642
Aspidogyne foliosa,-38.72,-3.88
Aspidogyne foliosa,-38.72,-3.9
Aspidogyne foliosa,-39.533333,-12.533333
Aspidogyne foliosa,-39.475556,-12.468333
Aspidogyne foliosa,-38.961944,-4.237222
Aspidogyne rosea,-41.99722,-12.18306
Barbosella crassifolia,-41.933334,-13.533333
Barbosella crassifolia,-41.93,-13.53
Barbosella crassifolia,-41.933333,-13.533333
Bifrenaria aureofulva,-41.266667,-13.7
Bifrenaria aureofulva,-41.27,-13.7
Bifrenaria aureofulva,-41.9,-13.25
Bifrenaria aureofulva,-41.9,-13.9
Bifrenaria aureofulva,-41.95,-13.95
Bifrenaria aureofulva,-42.515,-14.895556
Bifrenaria tyrianthina,-41.85,-13.333333
Bifrenaria tyrianthina,-41.95,-13.533333
Bifrenaria tyrianthina,-41.366389,-13.065833
Bifrenaria tyrianthina,-41.95,-13.53
Bifrenaria tyrianthina,-41.85,-13.33
Bifrenaria tyrianthina,-42.466667,-14.066667
Bifrenaria tyrianthina,-41.511389,-12.506111
Bifrenaria tyrianthina,-41.85,-13.859722
Bifrenaria tyrianthina,-41.2,-11.2
Bifrenaria tyrianthina,-41.5,-12.5
Bifrenaria tyrianthina,-41.95,-13.95
Bifrenaria tyrianthina,-41.85,-13.85
Bletia catenulata,-41.323754,-12.947362
Bletia catenulata,-41.912222,-13.911389
Brachystele cyclochila,-41.8,-13.566667
Brassavola ceboletta,-39.33,-10.45
Brassavola subulifolia,-39.33333,-10.45
Brassavola tuberculata,-41.033275,-11.553815
Brassavola tuberculata,-36.043056,-8.448056
Brassavola tuberculata,-35.723611,-6.0925
Brassavola tuberculata,-35.776944,-6.440833
Brassavola tuberculata,-35.699167,-6.424444
Brassavola tuberculata,-36.061111,-7.073889
Brassavola tuberculata,-35.998524,-5.759156
Brassavola tuberculata,-36.264597,-7.376226
Brassavola tuberculata,-36.265231,-7.37635
Brassavola tuberculata,-35.753333,-8.330833
Brassavola tuberculata,-41.828889,-12.651944
Brassavola tuberculata,-37.325794,-9.906181
Brassavola tuberculata,-38.183333,-10.708333
Brassavola tuberculata,-37.39,-10.550278
Brassavola tuberculata,-38.11,-10.423056
Brassavola tuberculata,-36.305556,-8.316667
Brassavola tuberculata,-37.628611,-10.863611
Brassavola tuberculata,-37.65,-10.917222
Brassavola tuberculata,-38.566944,-9.435639
Brassavola tuberculata,-38.821211,-9.752331
Brassavola tuberculata,-37.058728,-9.683628
Brassavola tuberculata,-36.107778,-8.200278
Brassavola tuberculata,-39.333333,-10.45
Brassavola tuberculata,-36.385,-8.240833
Brassavola tuberculata,-35.753333,-8.327222
Brassavola tuberculata,-36.067778,-8.070556
Brassavola tuberculata,-35.5825,-6.5825
Brassavola tuberculata,-40.980556,-12.981389
Brassavola tuberculata,-41.798333,-13.789444
Brassavola tuberculata,-41.225278,-11.229722
Brassavola tuberculata,-36.407778,-8.410833
Brassavola tuberculata,-40.980556,-12.982222
Brassavola tuberculata,-36.384944,-8.24075
Brassavola tuberculata,-35.755777,-8.328972
Brassavola tuberculata,-35.666667,-6.45
Brassavola tuberculata,-35.741667,-6.558333
Brassavola tuberculata,-36.067778,-8.353889
Brassavola tuberculata,-35.8375,-8.3325
Brassavola tuberculata,-35.755778,-8.328972
Brassavola tuberculata,-35.833333,-7.25
Brassavola tuberculata,-35.796902,-8.23333
Bulbophyllum exaltatum,-41.341667,-12.341667
Bulbophyllum exaltatum,-40.695222,-11.241194
Bulbophyllum exaltatum,-41.208111,-11.59225
Bulbophyllum exaltatum,-40.9975,-11.623333
Bulbophyllum exaltatum,-41.412778,-13.011944
Bulbophyllum exaltatum,-42.558056,-14.697778
Bulbophyllum exaltatum,-41.904444,-13.093056
Bulbophyllum exaltatum,-41.45,-12.45
