family,genus,species,Long,Lat
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.966667,-13.533333
Orchidaceae,Bulbophyllum,Bulbophyllum involutum,-41.866667,-13.3
Orchidaceae,Cattleya,Cattleya pfisteri,-41.45,-12.6
Orchidaceae,Cattleya,Cattleya elongata,-41.033333,-11.633333
Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,-40.633333,-11.083333
Orchidaceae,Cattleya,Cattleya elongata,-41.466667,-12.45
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.85,-13.466667
Orchidaceae,Galeandra,Galeandra montana,-41.916667,-13.066667
Orchidaceae,Cattleya,Cattleya elongata,-41.4,-12.566667
Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,-41.433333,-12.466667
Orchidaceae,Cattleya,Cattleya elongata,-41.416667,-13.016667
Orchidaceae,Cattleya,Cattleya luetzelburgii,-41.85,-13.483333
Orchidaceae,Promenaea,Promenaea xanthina,-41.9,-13.266667
Orchidaceae,Encyclia,Encyclia jenischiana,-39.866667,-12.9
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.416667,-12.45
Orchidaceae,Bulbophyllum,Bulbophyllum involutum,-41.85,-13.3
Orchidaceae,Cattleya,Cattleya elongata,-41.316667,-12.9
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.85,-13.333333
Orchidaceae,Bulbophyllum,Bulbophyllum mentosum,-41.9,-13.066667
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.35,-13.016667
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.866667,-13.283333
Orchidaceae,Cattleya,Cattleya elongata,-41.433333,-12.466667
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.333333,-10.333333
Orchidaceae,Bulbophyllum,Bulbophyllum mentosum,-41.9,-13.116667
Orchidaceae,Prosthechea,Prosthechea moojenii,-41.483333,-12.6
Orchidaceae,Encyclia,Encyclia oncidioides,-35.7,-6.966667
Orchidaceae,Prosthechea,Prosthechea moojenii,-41.433333,-12.466667
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.316667,-12.866667
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.266667,-13.7
Orchidaceae,Epidendrum,Epidendrum orchidiflorum,-41.466667,-12.45
Orchidaceae,Encyclia,Encyclia oncidioides,-41.85,-13.316667
Orchidaceae,Prosthechea,Prosthechea bulbosa,-41.883334,-13.333333
Orchidaceae,Prosthechea,Prosthechea carrii,-41.266667,-13.7
Orchidaceae,Prosthechea,Prosthechea moojenii,-41.85,-13.383333
Orchidaceae,Epidendrum,Epidendrum warrasii,-41.95,-13.55
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.383333,-13
Orchidaceae,Epidendrum,Epidendrum secundum,-41.45,-12.6
Orchidaceae,Encyclia,Encyclia alboxanthina,-41.433333,-12.466667
Orchidaceae,Epidendrum,Epidendrum dendrobioides,-41.266667,-13.7
