species,Long,Lat
Epidendrum secundum,-41.483333,-12.6
Skeptrostachys congestiflora,-41.966667,-13.516667
Thelyschista ghillanyi,-41.433333,-12.466667
Skeptrostachys congestiflora,-42.366667,-13.85
Liparis vexillifera,-41.466667,-12.45
Epidendrum secundum,-41.033333,-11.633333
Skeptrostachys congestiflora,-41.95,-13.533333
Barbosella crassifolia,-41.933334,-13.533333
Epidendrum secundum,-41.933334,-13.533333
Epidendrum secundum,-41.383333,-13
Epidendrum secundum,-41.266667,-13.7
Epidendrum secundum,-41.333333,-10.366667
Sarcoglottis schwackei,-41.9,-13.3
Acianthera ochreata,-41.916667,-13.533333
Thelyschista ghillanyi,-41.333333,-12.966667
Epidendrum secundum,-41.333333,-13.333333
Veyretia simplex,-41.95,-13.533333
Acianthera ochreata,-41.966667,-13.516667
Anathallis montipelladensis,-41.95,-13.533333
Pelexia viridis,-41.333333,-13.666667
Epidendrum secundum,-41.983334,-13.5
Acianthera ochreata,-41.333333,-10.366667
Veyretia sincorensis,-41.9,-13.3
Acianthera prolifera,-41.266667,-13.7
Stelis parvula,-41.966667,-13.516667
Acianthera ochreata,-41.35,-12.983334
Epistephium williamsii,-41.933334,-13.533333
Acianthera ochreata,-40.5,-13.5
Skeptrostachys congestiflora,-41.266667,-13.7
Acianthera ochreata,-41.2,-11.583333
Thelyschista ghillanyi,-41.383333,-13
Epistephium williamsii,-41.35,-13.016667
Acianthera ochreata,-41.433333,-12.466667
Anathallis montipelladensis,-42,-13.516667
Epistephium williamsii,-41.3,-13.583333
Skeptrostachys congestiflora,-41.333333,-12.533333
Acianthera prolifera,-41.45,-12.5
Stelis montserratii,-41.966667,-13.533333
Acianthera ochreata,-41.416667,-12.466667
Thelyschista ghillanyi,-41.35,-13.016667
Sobralia sessilis,-41.033333,-11.633333
Epistephium williamsii,-41.466667,-12.45
Habenaria mystacina,-41.466667,-12.966667
Anathallis montipelladensis,-41.966667,-13.516667
Epistephium williamsii,-41.316667,-12.866667
Habenaria imbricata,-41.866667,-13.333333
Epistephium williamsii,-41.916667,-13.533333
Epistephium williamsii,-40.25,-10
Habenaria hamata,-41.466667,-12.45
Sobralia liliastrum,-41.4,-12.55
Habenaria parviflora,-41.2,-11.583333
Habenaria johannensis,-41.416667,-13.033333
Habenaria johannensis,-41.4,-13.016667
Cleistes speciosa,-41.466667,-12.45
Habenaria fluminensis,-41.45,-13.583333
Prescottia leptostachya,-41.95,-13.533333
Habenaria meeana,-41.466667,-12.966667
Prescottia leptostachya,-40.416667,-12.433333
Habenaria imbricata,-41.95,-13.55
Habenaria repens,-41.033333,-11.633333
Habenaria repens,-41.416667,-13.033333
Habenaria pseudohamata,-41.45,-13.583333
Habenaria johannensis,-41.95,-13.55
Habenaria imbricata,-41.966667,-13.533333
Habenaria mystacina,-41.95,-13.55
Habenaria fluminensis,-41.033333,-11.633333
Habenaria quadrata,-41.2,-11.583333
Habenaria pratensis,-41.55,-13.1
Cleistes exilis,-41.466667,-12.966667
Cleistes moritzii,-41.95,-13.55
Habenaria pratensis,-41.883334,-13.55
Habenaria repens,-42.5,-14.116667
Cleistes moritzii,-41.316667,-12.866667
Cleistes moritzii,-41.433333,-12.466667
Habenaria imbricata,-41.033333,-11.633333
Cleistes moritzii,-41.4,-13.016667
Cleistes exilis,-41.316667,-12.866667
Cleistes exilis,-41.35,-13.016667
Cleistes paranaensis,-41.416667,-13.666667
Vanilla palmarum,-37.166667,-8.616667
Cleistes moritzii,-41.416667,-13.666667
Gomesa flexuosa,-36.768611,-8.317778
Acianthera ochreata,-36.761667,-8.310278
Gomesa barbata,-36.761667,-8.310278
Eulophia maculata,-40.449783,-10.901847
Gomesa barbata,-39.067802,-11.627727
Vanilla palmarum,-40.233355,-10.250063
Catasetum purum,-40.238611,-10.258888
Epidendrum cinnabarinum,-39.067805,-11.627727
Eulophia maculata,-37.294861,-9.532161
Cattleya elongata,-41.462332,-12.448875
Cyrtopodium aliciae,-41.171716,-13.163357
Sobralia liliastrum,-41.392462,-12.584845
Sobralia liliastrum,-41.419787,-12.463769
Encyclia alboxanthina,-41.171716,-13.163357
Cattleya pfisteri,-41.285,-13.683889
Cyrtopodium aliciae,-41.393154,-12.584663
Cyrtopodium aliciae,-41.390758,-12.579119
Epistephium williamsii,-41.44148,-12.810225
Prosthechea moojenii,-41.507231,-12.757028
Epidendrum pessoae,-35.700229,-6.968671
Acianthera ochreata,-36.059734,-8.362948
Habenaria pubidactyla,-41.507612,-12.759237
Encyclia alboxanthina,-41.480612,-12.606778
Acianthera ochreata,-36.386716,-8.242434
Epidendrum secundum,-41.488556,-12.600873
Dichaea panamensis,-35.395056,-7.602556
Cranichis candida,-37.645639,-7.427417
Cyrtopodium flavum,-36.266667,-8.252778
Acianthera ochreata,-41.94,-13.949722
Scaphyglottis sickii,-38.713611,-3.917222
Campylocentrum neglectum,-42.299167,-12.600278
Vanilla palmarum,-42.280278,-12.224722
Catasetum blackii,-42.280278,-12.221944
Eulophia maculata,-35.380358,-6.10647
Epidendrum flammeum,-36.191852,-8.2363
Eulophia maculata,-36.327239,-7.128356
Epidendrum flammeum,-36.191974,-8.236335
Habenaria hamata,-38.054167,-7.823889
Campylocentrum crassirhizum,-35.742222,-6.9575
Encyclia alboxanthina,-41.389444,-13.005833
Catasetum uncatum,-38.340792,-9.973609
Catasetum uncatum,-38.237002,-9.922457
Epidendrum secundum,-41.017222,-11.605833
Cyrtopodium parviflorum,-42.559167,-13.8925
Epistephium williamsii,-41.466667,-13.683333
Epidendrum secundum,-41.766667,-14.133333
Epidendrum secundum,-41.638889,-13.014444
Cattleya pfisteri,-41.466667,-13.683333
Cattleya pfisteri,-41.766667,-14.133333
Acianthera ochreata,-42.285,-13.25
Epidendrum secundum,-41.383333,-12.566667
Epistephium williamsii,-41.465467,-12.892564
Anathallis microphyta,-40.594796,-11.428702
Epidendrum saxatile,-40.594796,-11.428702
Vanilla phaeantha,-37.4643,-10.436471
