species,Long,Lat
Epistephium sclerophyllum,-15.944722,-47.935278
Houlletia odoratissima,-15.936111,-47.897222
Leptotes bicolor,-25.478333,-48.831389
Habenaria petalodes,-16.546389,-49.137222
Eulophia maculata,-16.545,-49.155556
Epistephium sclerophyllum,-15.725278,-48.889444
Cyrtopodium flavum,-13.014722,-38.488056
Malaxis excavata,-15.793889,-47.887778
Epidendrum pseudodifforme,-15.793889,-47.887778
Gomesa hydrophila,-15.762222,-48.069444
Epidendrum secundum,-25.476944,-48.834444
Bletia catenulata,-17.326111,-53.205
Trichocentrum pumilum,-24.041111,-52.381111
Vanilla edwallii,-15.75,-47.75
Epidendrum avicula,-15.973611,-47.910278
Habenaria heptadactyla,-15.930278,-47.927222
Habenaria parviflora,-15.896111,-46.943333
Sarcoglottis gonzalezii,-14.392222,-48.419444
Cyrtopodium poecilum,-14.343611,-48.399167
Epistephium sclerophyllum,-15.940833,-47.880833
Eulophia ruwenzoriensis,-15.931389,-47.899444
Galeandra styllomisantha,-15.931389,-47.899444
Habenaria secundiflora,-15.929444,-47.883056
Cyrtopodium gonzalezii,-15.947222,-47.86
Cleistes rosea,-15.161111,-45.761667
Habenaria leprieurii,-15.161111,-45.761667
Lockhartia goyazensis,-15.510556,-48.174722
Galeandra beyrichii,-16.358889,-46.899722
Vanilla chamissonis,-15.942778,-47.876111
Eulophia maculata,-15.793889,-47.887778
Eulophia maculata,-16.358889,-46.899722
Lockhartia goyazensis,-16.358889,-46.899722
Habenaria ayangannensis,-18.280833,-43.555833
Habenaria montis-wilhelminae,-15.950833,-47.871667
Eulophia alta,-15.93,-47.896944
Cyrtopodium brandonianum,-15.936667,-47.9
Cyrtopodium cristatum,-14.611667,-48.484722
Epidendrum secundum,-18.266667,-43.55
Epidendrum avicula,-15.9475,-47.935278
Anathallis barbulata,-15.943056,-47.874444
Habenaria subfiliformis,-15.9375,-47.895556
Epidendrum avicula,-15.944722,-47.935278
Polystachya concreta,-15.937222,-47.869167
Anathallis barbulata,-15.936111,-47.897222
Habenaria obtusa,-15.936667,-47.892222
Habenaria leucosantha,-15.939167,-47.885833
Cyrtopodium paludicola,-15.793889,-47.887778
Cleistes grandiflora,-15.936111,-47.893056
Cranichis candida,-15.935,-47.895278
Epidendrum densiflorum,-15.955,-47.888889
Epidendrum nocturnum,-15.937222,-47.935833
Cattleya labiata,-15.938333,-47.8875
Epistephium sclerophyllum,-15.944722,-47.868611
Malaxis excavata,-15.941944,-47.879722
Malaxis excavata,-14.941944,-47.879722
Maxillaria parviflora,-15.938333,-47.887222
Epidendrum secundum,-15.937222,-47.935833
Cleistes paranaensis,-15.793889,-47.887778
Cyrtopodium paludicola,-15.937222,-47.896667
Gomesa varicosa,-15.937222,-47.935833
Eulophia alta,-15.956111,-47.964722
Cyrtopodium vernum,-15.945556,-47.863056
Epistephium sclerophyllum,-15.946667,-47.878889
Epidendrum difforme,-15.938333,-47.887222
Epidendrum anceps,-15.940833,-47.880833
Rodriguezia decora,-15.947222,-47.877778
Rodriguezia decora,-15.793889,-47.887778
Cyrtopodium cristatum,-15.783333,-47.816667
Cyrtopodium paludicola,-15.790278,-47.880556
Cyrtopodium gonzalezii,-15.793889,-47.887778
Cyrtopodium blanchetii,-15.793889,-47.887778
Scaphyglottis prolifera,-15.793889,-47.887778
Cyrtopodium poecilum,-14.708333,-47.518889
Cyrtopodium brandonianum,-15.793889,-47.887778
Cyrtopodium vernum,-15.793889,-47.887778
Cranichis candida,-15.992222,-47.814722
Cranichis scripta,-15.793889,-47.887778
Brassavola tuberculata,-15.75,-47.75
Habenaria rodeiensis,-15.793889,-47.887778
Habenaria obtusa,-15.944167,-48.255833
Sacoila hassleri,-15.8,-47.843056
Sacoila lanceolata,-15.748333,-47.840556
Gomesa ciliata,-20.258611,-42.033611
Gomesa ramosa,-22.74,-45.589167
Veyretia simplex,-15.783333,-47.883333
Habenaria hexaptera,-15.793889,-47.887778
Habenaria obtusa,-15.75,-47.75
Habenaria trifida,-15.75,-47.75
Trichocentrum cepula,-5.086111,-42.805278
Habenaria ayangannensis,-15.853889,-47.859167
Habenaria petalodes,-20.525556,-41.906944
Habenaria petalodes,-15.795556,-47.748889
Habenaria obtusa,-15.793889,-47.887778
Habenaria rodeiensis,-16.258333,-47.955556
Habenaria petalodes,-15.75,-47.75
Veyretia simplex,-14.136111,-47.518889
Habenaria trifida,-16.258333,-47.955556
Habenaria parviflora,-15.560556,-47.615556
Habenaria leucosantha,-15.830556,-48.068889
Epistephium sclerophyllum,-15.75,-47.75
Scaphyglottis prolifera,-15.938333,-47.887222
Epistephium sclerophyllum,-15.7975,-47.783889
Epistephium laxiflorum,-15.75,-47.75
Habenaria brevidens,-16.258333,-47.955556
Microchilus arietinus,-15.793889,-47.887778
Habenaria cardiostigmatica,-15.75,-47.75
Epidendrum secundum,-15.830556,-48.068889
Epistephium williamsii,-15.6675,-47.652222
Encyclia osmantha,-15.793889,-47.887778
Epidendrum secundum,-15.938333,-47.887222
Cattleya lundii,-15.938333,-47.8875
Polystachya concreta,-15.8,-48.066667
Epidendrum secundum,-22.240833,-43.239167
Encyclia argentinensis,-15.75,-47.75
Epidendrum saxatile,-19.9375,-43.926389
Gomesa ciliata,-12.845,-39.083889
Campylocentrum neglectum,-15.9575,-47.887778
Notylia lyrata,-15.937778,-47.883333
Bulbophyllum plumosum,-15.793889,-47.887778
Bulbophyllum plumosum,-15.937778,-47.883333
Epidendrum avicula,-15.937778,-47.883333
Epidendrum densiflorum,-15.956111,-47.964722
Habenaria heptadactyla,-15.944167,-48.255833
Habenaria ludibundiciliata,-15.944167,-48.255833
Habenaria regnellii,-19.535,-54.043056
Habenaria hamata,-15.853333,-48.9625
Cyrtopodium fowliei,-15.793889,-47.887778
Habenaria heptadactyla,-15.793889,-47.887778
Rodriguezia decora,-15.954167,-47.888611
Habenaria petalodes,-15.954167,-47.888611
Gomesa varicosa,-15.953889,-47.89
Habenaria armata,-15.75,-47.75
Galeandra montana,-15.793889,-47.887778
Habenaria hamata,-15.918889,-47.889444
Galeandra montana,-15.956111,-47.964722
Cyrtopodium vernum,-14.163333,-47.793611
Cyanaeorchis arundinae,-23.685833,-44.685278
Phragmipedium vittatum,-15.540833,-47.335556
Habenaria armata,-15.944167,-48.255833
Epistephium sclerophyllum,-14.464722,-48.566667
Epidendrum secundum,-15.540833,-47.335556
Epidendrum dendrobioides,-15.540833,-47.335556
Habenaria tamanduensis,-15.627222,-47.887778
Sacoila lanceolata,-10.4175,-46.501944
Epistephium sclerophyllum,-15.926389,-47.905833
Epidendrum secundum,-24.9525,-47.96
Habenaria trifida,-15.846667,-47.84
Eulophia maculata,-15.942778,-47.876389
Habenaria obtusa,-19.961667,-54.8925
Epistephium sclerophyllum,-15.950833,-47.871111
Habenaria petalodes,-15.927778,-48.810278
Habenaria nuda,-15.931667,-47.882778
Epistephium williamsii,-14.136111,-47.518889
Eulophia alta,-15.793889,-47.887778
Habenaria lavrensis,-15.75,-47.75
Habenaria hamata,-15.75,-47.75
Galeandra montana,-14.073889,-45.962778
Cyrtopodium pallidum,-15.957778,-47.950833
Cyrtopodium fowliei,-15.830556,-48.068889
Habenaria gourlieana,-15.830556,-48.068889
Habenaria hamata,-14.314167,-47.744722
Isochilus linearis,-15.931667,-47.901667
Isochilus linearis,-15.793889,-47.871111
Malaxis excavata,-15.933889,-47.88
Epistephium williamsii,-15.938056,-47.939167
Sarcoglottis biflora,-15.839722,-47.8475
Eulophia maculata,-15.75,-47.75
Eulophia alta,-15.75,-47.75
Epistephium sclerophyllum,-17.743333,-48.621111
Catasetum pulchrum,-15.937222,-47.886111
Pteroglossa macrantha,-15.816667,-48.066667
Habenaria tamanduensis,-14.708333,-47.518889
Habenaria hamata,-15.7975,-47.783889
Polystachya concreta,-16.358889,-46.899722
Epidendrum nocturnum,-15.75,-47.75
Notylia lyrata,-14.066667,-46.483333
Eulophia maculata,-15.783333,-47.883333
Wullschlaegelia calcarata,-15.793056,-48.837222
Polystachya concreta,-12.845,-39.083889
Lyroglossa grisebachii,-15.793889,-47.887778
Sauroglossum elatum,-15.783333,-47.883333
Galeandra montana,-15.75,-47.75
Habenaria glaucophylla,-15.793889,-47.887778
Pelexia pterygantha,-15.793889,-47.887778
Epidendrum pseudodifforme,-15.75,-47.75
Liparis cogniauxiana,-14,-47
Acianthera limae,-15.930278,-47.812222
Cyrtopodium cristatum,-15.866667,-47.824722
Aspidogyne argentea,-15.938611,-47.948333
Prescottia oligantha,-19.006111,-57.648889
Epistephium williamsii,-13.822778,-47.457778
Eulophia maculata,-15.52,-48.17
Bletia catenulata,-14.3,-48.383333
Lockhartia goyazensis,-15.52,-48.17
Lockhartia goyazensis,-14.194722,-48.056111
Lockhartia goyazensis,-15.821389,-48.996667
Habenaria obtusa,-15.815,-48.918889
Sarcoglottis curvisepala,-14.064722,-46.4875
Cyrtopodium cristatum,-14.384167,-48.415833
Epidendrum rigidum,-8.064444,-34.9725
Dimerandra emarginata,-12.9725,-38.475278
Cyanaeorchis praetermissa,-15.911111,-47.914167
Sarcoglottis biflora,-15.9475,-47.933889
Gomesa hydrophila,-15.911111,-47.914167
Habenaria hamata,-16.058889,-48.483889
Cyrtopodium fowliei,-17.072222,-51.567222
Habenaria magniscutata,-14.0725,-47.509167
Cleistes rosea,-14.0725,-47.509167
Habenaria hexaptera,-6.965278,-35.703333
Epidendrum dendrobioides,-13.944167,-47.444167
Habenaria obtusa,-13.966667,-46.368333
Galeottia ciliata,-15.793889,-47.887778
Prescottia plantaginifolia,-8.214167,-35.782778
Cattleya bicolor,-15.793889,-47.887778
Rodriguezia decora,-15.819444,-47.817222
Habenaria curvilabra,-14.488611,-48.557222
Epidendrum secundum,-18.861667,-47.223889
Eulophia maculata,-14.898889,-47.762778
Campylocentrum kuntzei,-15.821944,-48.994167
Habenaria hamata,-12.51,-41.577222
Cattleya elongata,-12.801111,-41.324444
Campylocentrum neglectum,-15.997778,-47.892778
Cleistes rosea,-15.896111,-47.943333
Habenaria secundiflora,-15.762222,-48.069444
Polystachya concreta,-15.969167,-47.885
Epidendrum densiflorum,-15.9925,-47.894722
Polystachya concreta,-15.9925,-47.8975
Epidendrum avicula,-15.9925,-47.894722
Cyrtopodium parviflorum,-14.578056,-48.395278
Campylocentrum neglectum,-15.989444,-47.892778
Habenaria obtusa,-14.518889,-46.577778
Eulophia maculata,-14.317222,-49.027222
Polystachya concreta,-15.976944,-47.915278
Cleistes paranaensis,-15.965,-47.898611
Habenaria obtusa,-14.436944,-46.550833
Gomesa macropetala,-14.368056,-48.384444
Habenaria obtusa,-14.446111,-46.16
Eulophia alta,-14.928333,-47.755
Encyclia osmantha,-15.955833,-47.888611
Brassavola tuberculata,-15.955833,-47.888611
Cyrtopodium parviflorum,-15.8975,-47.944167
Epistephium sclerophyllum,-15.945556,-47.933611
Epidendrum nocturnum,-15.803611,-48.823056
Cyrtopodium parviflorum,-15.762222,-48.069444
Cyanaeorchis arundinae,-15.762222,-48.069444
Cyrtopodium gonzalezii,-13.776667,-47.263333
Habenaria edwallii,-15.806111,-47.977778
Habenaria rupicola,-15.793889,-47.887778
Galeandra paraguayensis,-15.931944,-47.8925
Cleistes rosea,-15.793889,-47.887778
Isochilus linearis,-23.166667,-44.5
Habenaria ayangannensis,-15.937222,-47.935833
Habenaria spathulifera,-13.771111,-47.411111
Habenaria lavrensis,-13.599722,-47.525
Epistephium sclerophyllum,-13.591667,-47.523056
Habenaria rodeiensis,-15.181944,-45.769722
Epistephium sclerophyllum,-15.930833,-47.9
Habenaria alpestris,-15.930556,-47.9
Habenaria leucosantha,-15.557222,-48.019444
Scaphyglottis prolifera,-15.792778,-48.836111
Habenaria secundiflora,-15.930833,-47.9
Galeandra styllomisantha,-15.930833,-47.9
Bletia catenulata,-14.316667,-48.383333
Cattleya walkeriana,-14.469167,-48.458611
Habenaria edwallii,-15.181944,-45.769722
Polystachya concreta,-15.603333,-48.102222
Habenaria gourlieana,-15.231944,-45.6475
Eulophia maculata,-4.0625,-41.723333
Zygopetalum maxillare,-15.806667,-48.851667
Brassavola tuberculata,-15.935556,-47.884722
Epistephium sclerophyllum,-15.938889,-47.886944
Habenaria obtusa,-14.384167,-48.415833
Epistephium sclerophyllum,-14.384167,-48.415833
Epidendrum dendrobioides,-12.957778,-41.303056
Habenaria rodeiensis,-10.441944,-46.459167
Malaxis jaraguae,-28.352778,-49.231944
Prosthechea fragrans,-27.149444,-48.601944
Polystachya concreta,-27.576667,-48.475556
Maxillaria picta,-27.358611,-49.050556
Specklinia grobyi,-22.74,-45.589167
Habenaria pubidactyla,-15.806111,-47.977778
Cyrtopodium gonzalezii,-15.929722,-47.893056
Cyrtopodium poecilum,-15.931944,-47.894444
Eulophia maculata,-15.78,-47.929167
Epidendrum secundum,-15.311111,-45.885278
Encyclia linearifolioides,-10.113333,-50.363611
Pelexia lindmanii,-16.223889,-47.954722
Galeandra montana,-14.3575,-48.405556
Acianthera ramosa,-15.793889,-47.887778
Pelexia pterygantha,-15.949167,-47.878333
Eulophia alta,-20.788611,-51.71
Epistephium sclerophyllum,-15.761111,-47.765833
Cranichis candida,-15.915,-47.896111
Epistephium williamsii,-15.936111,-47.894444
Epidendrum pseudodifforme,-15.98,-47.920833
Epistephium williamsii,-15.912222,-47.907778
Eulophia maculata,-15.943333,-47.875278
Vanilla edwallii,-15.943333,-47.875278
Epidendrum pseudodifforme,-15.953889,-47.888611
Prescottia stachyodes,-15.793889,-47.887778
Cyrtopodium eugenii,-15.944722,-47.885278
Prescottia stachyodes,-15.947222,-47.878056
Polystachya concreta,-15.937778,-47.883056
Polystachya concreta,-15.947222,-47.868333
Epidendrum densiflorum,-15.925833,-47.948611
Campylocentrum neglectum,-15.900278,-47.912778
Habenaria edwallii,-15.900833,-47.945278
Anathallis marginata,-15.898056,-47.715556
Mormodes sinuata,-15.936389,-47.895278
Mormodes sinuata,-15.915833,-48.804167
Habenaria curvilabra,-14.350833,-48.414444
Cattleya lundii,-15.821111,-47.816111
Mesadenella cuspidata,-15.793889,-47.887778
Epidendrum avicula,-15.932778,-47.884444
Habenaria heringeri,-15.900833,-47.945278
Cyrtopodium blanchetii,-15.901389,-47.944444
Lockhartia goyazensis,-16.673056,-49.255556
Prescottia stachyodes,-15.925833,-47.880278
Polystachya concreta,-15.951667,-47.882222
Notylia lyrata,-15.932778,-47.883889
Epidendrum difforme,-16.673056,-49.255833
Epidendrum pseudodifforme,-15.938056,-47.939167
Epistephium williamsii,-15.946944,-47.868333
Habenaria brevidens,-15.873056,-47.88
Epidendrum densiflorum,-16.733333,-48.533333
Mesadenella cuspidata,-16.733333,-48.533333
Prescottia stachyodes,-15.932222,-47.883889
Habenaria glaucophylla,-15.927778,-48.810278
Habenaria obtusa,-15.9175,-48.800556
Habenaria obtusa,-15.935833,-47.887222
Habenaria hamata,-15.927778,-48.810278
Bletia catenulata,-12.152778,-48.540556
Habenaria tamanduensis,-15.793889,-47.887778
Habenaria orchiocalcar,-15.793889,-47.887778
Houlletia odoratissima,-15.946944,-47.868333
Encyclia osmantha,-15.976944,-47.915278
Epidendrum nocturnum,-15.793889,-47.887778
Epidendrum dendrobioides,-14.108611,-47.521944
Cleistes rosea,-15.900833,-47.945278
Trichocentrum cepula,-12.833333,-46.416667
Brassavola tuberculata,-15.98,-47.920833
Habenaria schenckii,-11.358056,-38.330833
Bulbophyllum insectiferum,-15.943889,-47.907222
Mesadenella cuspidata,-16.690278,-48.671389
Habenaria cryptophila,-16.757778,-48.541667
Habenaria armata,-16.6,-48.65
Cranichis candida,-15.989444,-47.892778
Epidendrum pseudodifforme,-15.973611,-47.910278
Epistephium sclerophyllum,-15.793889,-47.887778
Habenaria parviflora,-15.900833,-47.945278
Epidendrum amblostomoides,-16.725556,-49.252778
Epidendrum nocturnum,-15.925,-47.879444
Eulophia alta,-16.258333,-47.955556
Epidendrum latilabrum,-12.845,-39.083889
Habenaria montis-wilhelminae,-15.950278,-47.870556
Epistephium sclerophyllum,-15.913333,-48.3275
Eulophia ruwenzoriensis,-15.943889,-47.887778
Cyrtopodium brandonianum,-15.810556,-47.875
Cyrtopodium brandonianum,-15.948056,-47.878333
Cyrtopodium blanchetii,-15.829444,-47.866111
Cyrtopodium poecilum,-15.793889,-47.887778
Cyrtopodium caiapoense,-15.793889,-47.887778
Galeandra montana,-15.946667,-47.878889
Cranichis candida,-15.929444,-47.882778
Galeandra montana,-20.788611,-51.71
Galeandra montana,-15.9175,-47.816111
Habenaria lavrensis,-15.923889,-47.897222
Maxillaria subrepens,-16.673333,-49.255833
Skeptrostachys gigantea,-15.931944,-47.885
Sacoila lanceolata,-15.866667,-47.844444
Sacoila lanceolata,-15.9475,-47.933889
Isabelia violacea,-15.793889,-47.887778
Rodriguezia pubescens,-16.673333,-49.255833
Galeottia ciliata,-11.046944,-45.190833
Habenaria parviflora,-13.523333,-45.373333
Gomesa varicosa,-15.793889,-47.887778
Habenaria secundiflora,-15.930556,-47.9
Habenaria obtusa,-15.943889,-47.876667
Bletia catenulata,-15.9,-48.783333
Cyrtopodium parviflorum,-14.160556,-47.806944
Cyrtopodium parviflorum,-13.948056,-47.502222
Epidendrum dendrobioides,-19.522222,-43.747222
Cranichis candida,-15.937222,-47.869167
Epistephium sclerophyllum,-15.931389,-47.9
Epistephium sclerophyllum,-16.076111,-48.0825
Habenaria macilenta,-14.159444,-47.5925
Habenaria hamata,-15.746389,-48.753611
Sacoila hassleri,-19.522222,-43.747222
Habenaria ayangannensis,-15.8725,-47.847222
Isabelia violacea,-15.908333,-47.913611
Encyclia osmantha,-15.908333,-47.913611
Habenaria leprieurii,-14.166667,-47.619444
Bulbophyllum rupicola,-14.166667,-47.619444
Notylia lyrata,-15.939167,-47.881111
Campylocentrum neglectum,-15.939167,-47.881389
Isabelia violacea,-15.939167,-47.881389
Habenaria macilenta,-14.166667,-47.619444
Epidendrum anceps,-15.939167,-47.881111
Pteroglossa macrantha,-14.95,-46.234167
Cyrtopodium eugenii,-15.925833,-47.896667
Epidendrum anceps,-15.954722,-47.888611
Cyanaeorchis arundinae,-15.915,-47.883333
Cyrtopodium eugenii,-15.956111,-47.881389
Encyclia osmantha,-15.932222,-47.883889
Prescottia stachyodes,-15.960556,-47.887778
Isabelia violacea,-15.931944,-47.883889
Habenaria leprieurii,-14.159444,-47.5925
Veyretia simplex,-14.159444,-47.5925
Epistephium sclerophyllum,-15.746389,-48.753611
Polystachya concreta,-15.929444,-47.883056
Habenaria gourlieana,-15.936667,-47.894722
Habenaria parviflora,-25.024444,-47.932222
Habenaria rodeiensis,-15.930556,-47.899167
Habenaria tamanduensis,-15.949722,-47.869167
Epistephium williamsii,-14.708056,-47.518611
Sacoila lanceolata,-15.915,-47.883333
Habenaria pubidactyla,-15.8725,-47.847222
Habenaria tamanduensis,-16.258333,-47.955556
Lockhartia goyazensis,-14.61,-48.539167
Cyrtopodium gonzalezii,-15.8975,-47.944167
Liparis cogniauxiana,-14.136111,-47.518889
Habenaria obtusa,-14.136111,-47.518889
Cyrtopodium vernum,-15.916389,-47.913889
Aspasia variegata,-10.430833,-50.468333
Habenaria johannensis,-15.230833,-45.816389
Habenaria petalodes,-12.056667,-37.690833
Epistephium sclerophyllum,-15.956111,-47.964722
Epidendrum cinnabarinum,-12.0625,-41.65
Cleistes ramboi,-14.136111,-47.518889
Pelexia laminata,-18.020278,-52.832222
Habenaria psammophila,-14.158333,-47.665
Habenaria magniscutata,-14.066667,-47.5
Habenaria leprieurii,-10.639444,-47.363056
Vanilla parvifolia,-22.876667,-43.227778
Catasetum discolor,-12.0625,-41.65
Galeandra montana,-14.133611,-47.519444
Gomesa hydrophila,-15.958056,-47.886667
Epidendrum nocturnum,-14.136111,-47.518889
Epistephium sclerophyllum,-15.944167,-48.255833
Epidendrum avicula,-14.136111,-47.519167
Epidendrum amblostomoides,-14.157778,-47.590556
Trichocentrum cepula,-15.626389,-46.423889
Lockhartia goyazensis,-15.736389,-47.023056
Cyrtopodium linearifolium,-14.136111,-47.518889
Bulbophyllum insectiferum,-17.043056,-51.556111
Trichocentrum pumilum,-15.736389,-47.023056
Cleistes paranaensis,-15.864722,-47.8525
Cleistes rosea,-15.610556,-47.613889
Cattleya guttata,-15.793889,-47.887778
Catasetum barbatum,-15.793889,-47.887778
Campylocentrum neglectum,-15.943889,-47.987778
Epistephium williamsii,-14.136111,-47.635556
Campylocentrum neglectum,-15.937778,-47.883333
Campylocentrum neglectum,-15.783333,-47.75
Brassavola flagellaris,-14.136111,-47.518889
Cleistes paranaensis,-15.936944,-47.885278
Veyretia simplex,-15.936111,-47.891389
Prescottia oligantha,-15.932778,-47.883889
Habenaria tamanduensis,-19.333333,-46.25
Elleanthus brasiliensis,-22.493889,-43.001111
Galeandra paraguayensis,-15.925556,-46.683056
Epidendrum secundum,-15.925556,-46.683056
Cleistes rosea,-15.510833,-48.163056
Habenaria pubidactyla,-15.510556,-48.513056
Habenaria heptadactyla,-10.83,-47.5
Pelexia oestrifera,-15.95,-47.916667
Galeandra montana,-14.136111,-47.518889
Cyrtopodium cristatum,-14.136111,-47.518889
Habenaria leprieurii,-14.776389,-45.942222
Epistephium sclerophyllum,-16.258333,-47.955556
Sacoila lanceolata,-15.793889,-47.887778
Habenaria obtusa,-15.806667,-48.848889
Eulophia maculata,-15.926389,-48.853333
Habenaria secundiflora,-15.830833,-48.910278
Habenaria petalodes,-15.910556,-48.745556
Cranichis candida,-15.901944,-48.795278
Cyrtopodium blanchetii,-14.35,-48.4
Mesadenella cuspidata,-15.901944,-48.795278
Habenaria hamata,-15.894444,-48.543333
Epidendrum nocturnum,-15.806667,-48.846111
Habenaria petalodes,-15.866111,-48.958056
Galeandra montana,-9.834444,-45.346667
Habenaria heringeri,-15.926389,-47.905556
Habenaria rupicola,-15.853611,-48.858333
Habenaria hamata,-15.853611,-48.858333
Vanilla chamissonis,-13.043611,-46.625556
Habenaria ayangannensis,-15.943611,-47.890556
Eulophia maculata,-13.734444,-46.356111
Epistephium sclerophyllum,-15.959722,-47.876389
Cattleya nobilior,-13.933333,-46.466667
Epidendrum nocturnum,-15.585278,-47.585556
Prescottia stachyodes,-15.083333,-47.866667
Habenaria obtusa,-15.6375,-47.648889
Habenaria ayangannensis,-15.926389,-47.905556
Epidendrum secundum,-14.0025,-47.520278
Cyrtopodium virescens,-15.945833,-47.884167
Galeandra montana,-15.961389,-47.973333
Cyrtopodium cristatum,-15.9675,-47.954722
Cyrtopodium blanchetii,-14.35,-48.383333
Cyrtopodium poecilum,-14.468889,-48.458611
Epidendrum secundum,-14.050556,-47.513333
Bulbophyllum exaltatum,-14.050556,-47.5
Epistephium sclerophyllum,-15.595,-47.608333
Epidendrum paranaense,-26.100278,-48.960556
Brassavola tuberculata,-8.728889,-47.093333
Campylocentrum neglectum,-14.073333,-47.333333
Pelexia orthosepala,-14.130278,-47.517222
Habenaria obtusa,-14.159444,-47.5925
Gomesa varicosa,-15.75,-47.75
Habenaria parviflora,-14.681944,-45.844167
Habenaria heptadactyla,-14.681944,-45.844167
Isabelia violacea,-15.940833,-47.881944
Sacoila lanceolata,-14.066389,-46.486389
Habenaria leprieurii,-14.9325,-45.949167
Habenaria edwallii,-14.9325,-45.949167
Cyrtopodium fowliei,-14.9325,-45.949167
Epidendrum densiflorum,-15.793889,-47.887778
Habenaria brevidens,-15.793889,-47.887778
Epidendrum purpureocaule,-1.107778,-48.786389
Anathallis nanifolia,-10.588889,-68.331111
Maxillaria uncata,-1.791139,-46.977722
Brassia caudata,-1.790278,-46.977861
Notylia punctata,-1.454167,-48.438333
Lockhartia imbricata,-3.333889,-51.956667
Epidendrum rigidum,-1.383412,-48.40639
Epidendrum strobiliferum,-10.588889,-68.331111
Polystachya concreta,-1.790833,-46.977917
Campylocentrum micranthum,-1.6625,-47.361139
Vanilla labellopapillata,-1.426,-48.419
Polystachya concreta,-1.236861,-47.866278
Catasetum macrocarpum,-3.009444,-49.851111
Notylia punctata,-1.721944,-48.879444
Notylia aromatica,-0.942778,-48.666944
Rodriguezia lanceolata,-3.00375,-49.747222
Macradenia paraensis,-3.018722,-49.743806
Notylia microchila,-1.372222,-48.392778
Octomeria grandiflora,-1.383412,-48.40639
Eulophia maculata,-1.383412,-48.40639
Epidendrum flexuosum,0.635222,-58.309472
Notylia platyglossa,-6.170833,-50.353333
Catasetum discolor,-6.401389,-51.860278
Catasetum planiceps,-6.4225,-51.846944
Vanilla labellopapillata,-14.239444,-48.428611
Habenaria ludibundiciliata,-6.328889,-50.138889
Sobralia macrophylla,-1.614028,-48.51225
Sobralia liliastrum,-6.330833,-49.962778
Sobralia liliastrum,-6.328611,-49.935
Polystachya concreta,-6.396667,-51.864167
Trichocentrum sprucei,-6.328889,-49.986111
Scaphyglottis livida,-6.396667,-51.864167
Epidendrum strobiliferum,-6.396667,-51.864167
Trichocentrum nanum,-3.498761,-53.798922
Vanilla palmarum,-12.039167,-37.749722
Cattleya violacea,0.651028,-58.291667
Triphora uniflora,-6.328611,-49.985278
Dichaea cogniauxiana,-27.085944,-48.987929
Gongora bufonia,-27.090396,-48.985335
Leptotes bicolor,-27.080108,-49.01624
Prosthechea vespa,-27.07992,-49.015262
Trichocentrum pumilum,-31.767518,-52.265699
Cattleya harrisoniana,-22.557675,-43.049418
Cattleya forbesii,-27.090396,-48.985335
Epidendrum fulgens,-26.881967,-48.640509
Gomesa flexuosa,-27.057415,-49.085877
Zygostates alleniana,-31.462078,-52.47108
Gomesa flexuosa,-26.905822,-49.080508
Epidendrum fulgens,-26.854054,-48.634692
Miltonia flavescens,-19.935648,-40.599462
Miltonia flavescens,-26.900405,-49.222512
Epidendrum pseudodifforme,-27.097569,-48.920659
Maxillaria brasiliensis,-27.739028,-48.815329
Bifrenaria inodora,-27.080117,-49.014978
Gomesa flexuosa,-27.080208,-49.015933
Zygopetalum maxillare,-27.088919,-48.990851
Cattleya forbesii,-27.08002,-49.015285
Maxillaria paranaensis,-25.385136,-49.015355
Prosthechea pygmaea,-27.080043,-49.015243
Scaphyglottis livida,-19.169263,-46.257354
Vanilla phaeantha,-6.280824,-35.024186
Maxillaria paranaensis,-25.373775,-49.011423
Dichaea pendula,-27.080327,-49.016668
Gomesa planifolia,-27.090396,-48.985335
Epidendrum rigidum,-27.097744,-48.920588
Rodriguezia decora,-27.090396,-48.985335
Dichaea pendula,-27.090396,-48.985335
Gomesa cornigera,-29.595877,-53.710456
Gongora bufonia,-27.086181,-48.988077
Gomesa planifolia,-25.385749,-49.015708
Maxillaria brasiliensis,-27.07978,-49.01536
Trichocentrum pumilum,-28.994211,-51.388288
Gomesa uniflora,-25.373775,-49.011423
Epidendrum fulgens,-26.867183,-48.637713
Epidendrum fulgens,-26.860002,-48.637945
Cleistes rosea,3.66148,-61.630861
Gomesa flexuosa,-27.080583,-49.015197
Gomesa bifolia,-25.352463,-51.46508
Gomesa paranensoides,-28.987488,-51.406191
Vanilla phaeantha,-6.235342,-35.127902
Gomesa gomezoides,-29.1724,-50.025161
Eulophia maculata,-6.226338,-35.065592
Brassavola tuberculata,-6.226338,-35.065592
Gomesa flexuosa,-24.286526,-47.446824
Cattleya labiata,-20.273007,-40.477865
Lockhartia imbricata,-13.087389,-60.658694
Stelis paraensis,-1.605778,-48.498833
Maxillaria petiolaris,0.862222,-63.333611
Sacoila lanceolata,-7.155278,-47.419167
Laelia gloriosa,-13.087389,-60.658694
Orleanesia amazonica,-2.9405,-54.085361
Lockhartia imbricata,-2.9405,-54.085361
Catasetum discolor,-6.3475,-50.434444
Habenaria nuda,-6.542778,-51.878056
Sobralia liliastrum,-6.398611,-51.850833
Epidendrum purpurascens,-6.405556,-50.391667
Habenaria obtusa,2.950317,-60.494472
