scientificName,family,genus,species,NM_MUN,SIGLA_UF,Latitude,Longitude
Acianthera ochreata (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera ochreata,Abaira,BA,-13.3,-41.866667
Gomesa praetexta (Rchb.f.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa praetexta,Abaira,BA,-13.267545,-41.905806
Anathallis rubens (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Stelis,Stelis montserratii,Abaira,BA,-13.266667,-41.9
Cyrtopodium saintlegerianum Rchb.f.,Orchidaceae,Cyrtopodium,Cyrtopodium saintlegerianum,Abaira,BA,-13.3,-41.82
Encyclia oncidioides (Lindl.) Schltr.,Orchidaceae,Encyclia,Encyclia oncidioides,Abaira,BA,-13.32,-41.73
"Bulbophyllum involutum Borba, Semir & F.Barros",Orchidaceae,Bulbophyllum,Bulbophyllum involutum,Abaira,BA,-13.28,-41.87
Prosthechea bulbosa (Vell.) W.E.Higgins,Orchidaceae,Prosthechea,Prosthechea bulbosa,Abaira,BA,-13.33,-41.88
Zygopetalum sellowii Rchb.f.,Orchidaceae,Zygopetalum,Zygopetalum sellowii,Abaira,BA,-13.33,-41.87
Epidendrum cristatum Ruiz & Pav.,Orchidaceae,Epidendrum,Epidendrum cristatum,Abaira,BA,-13.33,-41.87
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.28,-41.9
Cyrtopodium eugenii Rchb.f. & Warm.,Orchidaceae,Cyrtopodium,Cyrtopodium eugenii,Abaira,BA,-13.27,-41.88
"Bulbophyllum involutum Borba, Semir & F.Barros",Orchidaceae,Bulbophyllum,Bulbophyllum involutum,Abaira,BA,-13.3,-41.87
Rodriguezia obtusifolia (Lindl.) Rchb.f.,Orchidaceae,Rodriguezia,Rodriguezia obtusifolia,Abaira,BA,-13.28,-41.72
Skeptrostachys congestiflora (Cogn.) Garay,Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,Abaira,BA,-13.3,-41.883333
Cleistes moritzii (Rchb.f.) Garay & Dunst.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.333333,-41.866667
Gomesa praetexta (Rchb.f.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa praetexta,Abaira,BA,-13.25,-41.9
Cleistes moritzii (Rchb.f.) Garay & Dunst.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.25,-41.9
Zygopetalum maculatum (Kunth) Garay,Orchidaceae,Zygopetalum,Zygopetalum maculatum,Abaira,BA,-13.25,-41.9
Habenaria caldensis Kraenzl.,Orchidaceae,Habenaria,Habenaria caldensis,Abaira,BA,-13.25,-41.9
Campylocentrum sellowii (Rchb.f.) Rolfe,Orchidaceae,Campylocentrum,Campylocentrum sellowii,Abaira,BA,-13.3,-41.8
Pleurothallis saundersiana Rchb.f.,Orchidaceae,Acianthera,Acianthera saundersiana,Abaira,BA,-13.27,-41.88
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.3,-41.85
Gomesa sincorana (Campacci & Cath.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa sincorana,Abaira,BA,-13.33,-41.87
Maxillaria gracilis Lodd.,Orchidaceae,Maxillaria,Maxillaria humilis,Abaira,BA,-13.27,-41.88
Cyrtopodium aliciae L.Linden & Rolfe,Orchidaceae,Cyrtopodium,Cyrtopodium aliciae,Abaira,BA,-13.32,-41.85
Maxillaria gracilis Lodd.,Orchidaceae,Maxillaria,Maxillaria humilis,Abaira,BA,-13.33,-41.88
Promenaea xanthina (Lindl.) Lindl.,Orchidaceae,Promenaea,Promenaea xanthina,Abaira,BA,-13.27,-41.9
Bifrenaria tyrianthina (Lodd. ex Loudon) Rchb.f.,Orchidaceae,Bifrenaria,Bifrenaria tyrianthina,Abaira,BA,-13.33,-41.85
Cyrtopodium holstii L.C.Menezes,Orchidaceae,Cyrtopodium,Cyrtopodium holstii,Abaira,BA,-13.3,-41.83
Encyclia oncidioides (Lindl.) Schltr.,Orchidaceae,Encyclia,Encyclia oncidioides,Abaira,BA,-13.32,-41.85
Maxillaria humilis (Link & Otto) Schuit. & M.W.Chase,Orchidaceae,Maxillaria,Maxillaria humilis,Abaira,BA,-13.33,-41.88
Habenaria graciliscapa Barb.Rodr.,Orchidaceae,Habenaria,Habenaria imbricata,Abaira,BA,-13.33,-41.87
Gomesa varicosa (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa varicosa,Abaira,BA,-13.3,-41.82
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.3,-41.9
Zygopetalum sellowii Rchb.f.,Orchidaceae,Zygopetalum,Zygopetalum sellowii,Abaira,BA,-13.25,-41.9
Pleurothallis ochreata Lindl.,Orchidaceae,Acianthera,Acianthera ochreata,Abaira,BA,-13.23,-41.9
Thelyschista ghillanyi (Pabst) Garay,Orchidaceae,Thelyschista,Thelyschista ghillanyi,Abaira,BA,-13.3,-41.77
Pleurothallis ochreata Lindl.,Orchidaceae,Acianthera,Acianthera ochreata,Abaira,BA,-13.3,-41.87
Pleurothallis hamosa Barb.Rodr.,Orchidaceae,Acianthera,Acianthera prolifera,Abaira,BA,-13.23,-41.9
Epidendrum secundum Jacq.,Orchidaceae,Epidendrum,Epidendrum secundum,Abaira,BA,-13.28,-41.9
Stelis aprica Lindl.,Orchidaceae,Stelis,Stelis aprica,Abaira,BA,-13.27,-41.9
Epidendrum dendrobioides Thunb.,Orchidaceae,Epidendrum,Epidendrum dendrobioides,Abaira,BA,-13.32,-41.85
Campylocentrum aciculatum (Rchb.f. & Warm.) Cogn.,Orchidaceae,Campylocentrum,Campylocentrum sellowii,Abaira,BA,-13.3,-41.8
Cattleya tenuis Campacci & Vedovello,Orchidaceae,Cattleya,Cattleya tenuis,Abaira,BA,-13.3,-41.8
Encyclia osmantha (Barb.Rodr.) Schltr.,Orchidaceae,Encyclia,Encyclia osmantha,Abaira,BA,-13.28,-41.85
Cattleya elongata Barb.Rodr.,Orchidaceae,Cattleya,Cattleya elongata,Abaira,BA,-13.28,-41.85
Cattleya elongata Barb.Rodr.,Orchidaceae,Cattleya,Cattleya elongata,Abaira,BA,-13.3,-41.87
Encyclia glumacea (Lindl.) Pabst,Orchidaceae,Prosthechea,Prosthechea glumacea,Abaira,BA,-13.33,-41.88
Bulbophyllum ipanemense Hoehne,Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,Abaira,BA,-13.28,-41.87
Bulbophyllum ipanemense Hoehne,Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,Abaira,BA,-13.3,-41.85
Skeptrostachys congestiflora (Cogn.) Garay,Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,Abaira,BA,-13.23,-41.9
Skeptrostachys congestiflora (Cogn.) Garay,Orchidaceae,Skeptrostachys,Skeptrostachys congestiflora,Abaira,BA,-13.27,-41.9
Sarcoglottis sincorensis (Schltr.) Schltr.,Orchidaceae,Veyretia,Veyretia sincorensis,Abaira,BA,-13.27,-41.9
Cleistes exilis Hoehne,Orchidaceae,Cleistes,Cleistes exilis,Abaira,BA,-13.25,-41.9
Bulbophyllum ipanemense Hoehne,Orchidaceae,Bulbophyllum,Bulbophyllum ipanemense,Abaira,BA,-13.3,-41.87
Epidendrum warrasii Pabst,Orchidaceae,Epidendrum,Epidendrum warrasii,Abaira,BA,-13.3,-41.87
Epidendrum dendrobioides Thunb.,Orchidaceae,Epidendrum,Epidendrum dendrobioides,Abaira,BA,-13.33,-41.85
Maxillaria barbosae Loefgr.,Orchidaceae,Maxillaria,Maxillaria barbosae,Abaira,BA,-13.33,-41.88
Encyclia alboxanthina Fowlie,Orchidaceae,Encyclia,Encyclia alboxanthina,Abaira,BA,-13.37,-41.83
Epidendrum dendrobioides Thunb.,Orchidaceae,Epidendrum,Epidendrum dendrobioides,Abaira,BA,-13.37,-41.83
Cleistes exilis Hoehne,Orchidaceae,Cleistes,Cleistes exilis,Abaira,BA,-13.37,-41.83
Cleistes moritzii (Rchb.f.) Garay & Dunst.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.33,-41.87
Maxillaria humilis (Link & Otto) Schuit. & M.W.Chase,Orchidaceae,Maxillaria,Maxillaria humilis,Abaira,BA,-13.27,-41.88
Cleistes exilis Hoehne,Orchidaceae,Cleistes,Cleistes exilis,Abaira,BA,-13.32,-41.8
Cleistes paranaensis (Barb.Rodr.) Schltr.,Orchidaceae,Cleistes,Cleistes paranaensis,Abaira,BA,-13.27,-41.88
Scuticaria bahiensis K.L.Davies & Stpiczynska,Orchidaceae,Scuticaria,Scuticaria bahiensis,Abaira,BA,-13.3,-41.9
Zygopetalum mackayi Hook.,Orchidaceae,Zygopetalum,Zygopetalum maculatum,Abaira,BA,-13.25,-41.9
Zygopetalum mackayi Hook.,Orchidaceae,Zygopetalum,Zygopetalum maculatum,Abaira,BA,-13.33,-41.88
Cattleya luetzelburgii Van den Berg,Orchidaceae,Cattleya,Cattleya luetzelburgii,Abaira,BA,-13.266667,-41.733333
Habenaria nuda Lindl.,Orchidaceae,Habenaria,Habenaria nuda,Abaira,BA,-13.285278,-41.888611
Anathallis montipelladensis (Hoehne) F.Barros,Orchidaceae,Anathallis,Anathallis montipelladensis,Abaira,BA,-13.233333,-41.65
Gomesa ramosa (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa ramosa,Abaira,BA,-13.291111,-41.900278
Cyrtopodium holstii L.C.Menezes,Orchidaceae,Cyrtopodium,Cyrtopodium holstii,Abaira,BA,-13.233333,-41.65
Cleistes moritzii (Rchb.f.) Garay & Dunst.,Orchidaceae,Cleistes,Cleistes moritzii,Abaira,BA,-13.283333,-41.833333
Oncidium varicosum Lindl.,Orchidaceae,Gomesa,Gomesa varicosa,Abaira,BA,-13.3,-41.82
Gomesa hydrophila (Barb.Rodr.) M.W.Chase & N.H.Williams,Orchidaceae,Gomesa,Gomesa hydrophila,Abaira,BA,-13.25,-41.9
Bifrenaria aureofulva (Hook.) Lindl.,Orchidaceae,Bifrenaria,Bifrenaria aureofulva,Abaira,BA,-13.25,-41.9
Epistephium williamsii Hook.f.,Orchidaceae,Epistephium,Epistephium williamsii,Abaira,BA,-13.27,-41.88
Anathallis rubens (Lindl.) Pridgeon & M.W.Chase,Orchidaceae,Stelis,Stelis montserratii,Abaira,BA,-13.27,-41.9
Acianthera saundersiana (Rchb.f.) Pridgeon & M.W.Chase,Orchidaceae,Acianthera,Acianthera saundersiana,Abaira,BA,-13.27,-41.88
